Created,Text,User,Company,Symbol,TwitterTerm
2020-03-18,"Inspired by the community commitment of our parent company, @Exelon
#PoweringCommunities https://t.co/GvrsDzEXag",CJInMktg,Exelon Corp.,EXC,@Exelon
2020-03-18,"We’re joining @Exelon and @Constellation to donate $175,000 to Maryland relief organizations including the @UnitedWayCM, the @MDFoodBank, and the @baltcommfdn to support their efforts to provide essential services during the coronavirus outbreak. https://t.co/lSaiVA5xKu",MyBGE,Exelon Corp.,EXC,@Exelon
2020-03-18,"""The @RedCross is proud to count @Exelon as a partner,” said Don Herring of the American Red Cross. “Your gift helps ensure that the Red Cross is able to provide critical relief services to people affected by disasters big and small.” #coronavirus #ExelonCommunity https://t.co/NQ5qDrMIlW",Exelon,Exelon Corp.,EXC,@Exelon
2020-03-18,"Young women in 10th or 11th grade can apply to attend The 
@Exelon  Foundation's #STEM Innovation + Leadership Academy in College Park- a free week-long, overnight STEM leadership program! https://t.co/cYCnDnoX3N",MDCleanEnergy,Exelon Corp.,EXC,@Exelon
2020-03-18,"""BGE Donates to Local Nonprofits for Coronavirus Response and Relief
$175,000 to Maryland organizations is part of more than $1 million donation by Exelon companies nationwide to help communities during pandemic response""
@MyBGE @Exelon 
https://t.co/4oPABEtYvH",AAEDC,Exelon Corp.,EXC,@Exelon
2020-03-18,This is great to hear! Thank you @MyBGE @Exelon https://t.co/MXuyCQ2BKY,GBCorg,Exelon Corp.,EXC,@Exelon
2020-03-18,.@Exelon and its family of companies will donate more than $1.15 million to national and local relief organizations to support communities impacted by the spread of the #coronavirus. #ExelonCommunity @ComEd https://t.co/tpSA6tKZOS,andrewswanson,Exelon Corp.,EXC,@Exelon
2020-03-18,Exelon and its family of companies will donate more than $1.15 million to national and local relief organizations to support communities impacted by the spread of the #coronavirus. https://t.co/aSxEWir2hO  #ExelonCommunity (1/6) https://t.co/wWhk33221r,Exelon,Exelon Corp.,EXC,@Exelon
2020-03-18,". @Exelon $EXC and Its Family of Cos Donate $1M+ ; Coronavirus Response, Relief @BusinessWire | #CorpSoc #CSR #CorpComms 

https://t.co/DqfVZXPGgi",Boutonski,Exelon Corp.,EXC,@Exelon
2020-03-18,"Need to grow plants and not worry :).  We have posted video directions (and a quick-start guide) on our automated greenhouse with @microbit_edu using @MSMakeCode #hydroponics #transparentsoil @bennytheshap @LCademartiriLab @bclynchschool @Exelon @NSF_EHR 

https://t.co/Wyx0tHDtXF https://t.co/X3EK6tp5OI",mike_barnett_BC,Exelon Corp.,EXC,@Exelon
