Created,Text,User,Company,Symbol,TwitterTerm
2020-03-18,"I find it curious that even though I cancelled my #sxsw hotel reservation at @JWMarriottATX and confirmed it twice with the hotel, my reservation continues to show up on @Marriott’s customer-facing systems. Are @whitelodging’s properties somehow cooking their occupancy metrics? https://t.co/Fbn3Qd7HIg",richardgunther,Marriott International Inc. Class A,MAR,@Marriott
2020-03-18,"Uuugghh, @Marriott are DICKS https://t.co/DYEwDGPFgL",GinoRossi,Marriott International Inc. Class A,MAR,@Marriott
2020-03-18,"Scientific societies are canceling meetings and are being forced to pay for hotel blocks that will not be filled with traveling scientists.

How about giving the rooms to local shelters? A week in a  @Marriott or @HiltonHotels does some good with the penalty money.",Fishguy_FHL,Marriott International Inc. Class A,MAR,@Marriott
2020-03-18,.@Marriott That's nothing short of disgusting behaviour during an international crisis...  Sort your shit out. https://t.co/E0vrX11fsL,cmcknz77,Marriott International Inc. Class A,MAR,@Marriott
2020-03-18,"I’d like to see any hotels seeking federal relief convert currently vacant properties into #COVIDー19 treatment facilities 

@Marriott @HiltonHotels ⁦@WyndhamHotels⁩

Businesses ask for hundreds of billions of $$$ in federal help - ⁦@CNN⁩  https://t.co/kT5iTefV34",JustinKlein1,Marriott International Inc. Class A,MAR,@Marriott
2020-03-18,Evil @Marriott @MarriottBonvoy https://t.co/QInnTpptye,jesvschris,Marriott International Inc. Class A,MAR,@Marriott
2020-03-18,Hey @Marriott  @MarriottIntl   step up and help your employees. https://t.co/pGwMAGEP5y,MythicalStig,Marriott International Inc. Class A,MAR,@Marriott
2020-03-18,HEY @MarriottBonvoy @marriott GET IT TOGETHER AND TREAR YOUR EMPLOYEES RIGHT! My mother and several family members have been loyal employees for decades! They shouldn’t have to use their PTO or file for unemployment due to the pandemic! Step up and do the right thing! Do it!,LadyMayra,Marriott International Inc. Class A,MAR,@Marriott
2020-03-18,Shame @Marriott @MarriottBonvoy @MarriottIntl —Zero hours is laid off! Let these employees collect unemployment or I will be trading in my #marriotthotels  pointa for the garbage that they are if this is yr policy!!🤷🏾‍♀️🤷🏾‍♀️ https://t.co/9oqAs1ZCoE,mcclaurintweets,Marriott International Inc. Class A,MAR,@Marriott
2020-03-18,Your move @HiltonHotels @Marriott @InterConHotels https://t.co/bD57deB0q6,OsamaSBhutta,Marriott International Inc. Class A,MAR,@Marriott
2020-03-18,"Marriott hotels treat their staff like crap In the USA putting them on zero hours rather than  Dismissal. They can't get any benefits or health cover. Boycott the Marriott. Let the people go. Don't book their hotels, use a company that cares for their people. @Marriott",murrayw13465402,Marriott International Inc. Class A,MAR,@Marriott
2020-03-18,"This is the time to prepare as the cases are bound to increase in the coming days. Turn #hotels into #Hospitals. This would also boost the economy and avoid furloughs similar to that of @Marriott. 
@rwang0 would you agree? #coronavirus
#COVID19
https://t.co/sYTQ6Vf87Q",GauravG7399,Marriott International Inc. Class A,MAR,@Marriott
