Created,Text,User,Company,Symbol,TwitterTerm
2020-03-18,Yo @united my flight from Punta Cana to Chicago just got cancelled. I’m stranded here and waited over 7 hours on your help hotline. Help me out.,1THC_Jake,United Airlines Holdings Inc.,UAL,@united
2020-03-18,"Heya @united Flown with you - a lot - for years. I know times aren’t easy in your industry right now.

Thanks for eliminating change fees at this time. I’ve had to change a few conference flight dates due to #CoronavirusOutbreak. The process was simple and easy. #kudos",SarahASimon,United Airlines Holdings Inc.,UAL,@united
2020-03-18,"We’re being told @united flight 4693 to DEN is departing late due to an unknown delay, estimated departure from GUC is 6:00pm. Contact airline for more info. #flightupdate",GUC_Airport,United Airlines Holdings Inc.,UAL,@united
2020-03-18,"Can someone @CBP @CBPFlorida @united please tell me if a U.K. citizen who has lived on a mountain in Canada since last year, not visited anywhere else, allowed to travel tomorrow morning to Tampa from Calgary. #coronavirus @CSaundersUK",StGeorge_Abroad,United Airlines Holdings Inc.,UAL,@united
2020-03-18,Pretty convenient @united changed their itinerary change time for refund from two hours to six. They cancelled and rebooked us on a trip we can't take on a flight that leaves 5 hours sooner.,bdplayer81,United Airlines Holdings Inc.,UAL,@united
2020-03-18,Good. Fuck @united https://t.co/yBhzkxkH4A,scorp99cam,United Airlines Holdings Inc.,UAL,@united
2020-03-18,A San Diego family is stranded in Honduras after their president banned travel over fears of #coronavirus. I spoke to the Warners via FaceTime who are desperately trying to get home. @realDonaldTrump @AmericanAir @Delta @United https://t.co/a1taHw4B1J,StellaNews8,United Airlines Holdings Inc.,UAL,@united
2020-03-18,"On a @united flight right now, they’re giving out disinfecting wipes to first class only. Nice!!!",sarahbizarre,United Airlines Holdings Inc.,UAL,@united
2020-03-18,"Seems like right now I can cancel a flight or buy a new flight on the @united website but I can't change a flight, which is the one thing I really need to do. Why not? Isn't changing just cancelling and buying combined?",5_years_project,United Airlines Holdings Inc.,UAL,@united
2020-03-18,"I appreciate the openness, @united 
There is something deeply moving (no pun intended) about the notion of air travel. Some part of me is inspired every time I fly, no matter how tired I am. Thanks for connecting the world, y'all. https://t.co/j0JvqfJXYH",graysonstebbins,United Airlines Holdings Inc.,UAL,@united
2020-03-18,"Officially over an hour waiting on hold for @united, who is trying to charge me $200 to cancel a flight to a country that has banned all international arrivals.",ComradeAlan,United Airlines Holdings Inc.,UAL,@united
2020-03-18,"Want to know stock buyback totals for airlines over the last 5 years? Here we go:

@AmericanAir: $11.9B
@Delta: $10.1B
@united: $8.6B
@SouthwestAir: $8.5B
@Jetblue: $1.4B

Total: $40.5B https://t.co/0TVhqFMwac",sarahmillerdc,United Airlines Holdings Inc.,UAL,@united
2020-03-18,"Here's new public address language from @united, imploring passengers to use good hygiene. https://t.co/SZaNQ0lijE",BrianSumers,United Airlines Holdings Inc.,UAL,@united
2020-03-18,".@united is telling customer service agents to promote social distancing on aircraft. For weight and balance issues, it's better for the airline to do it than for passengers to switch once onboard. #COVID19 https://t.co/MmaZZ5SSFz",BrianSumers,United Airlines Holdings Inc.,UAL,@united
2020-03-18,"That’s like flying @United® Premium Plus!

#NJTWinterOfHell #NJTWinter #GarbageServiceOfNJTransit #NJTHell #NJTransit #FixItPhilMurphy @SenatorMenendez @GovMurphy @StewartMader #BlamePhilMurphy #FireKevinCorbett https://t.co/DDJNQ0ya3l",FuckNjTransit,United Airlines Holdings Inc.,UAL,@united
2020-03-18,Shame on you @united,Smithspitstruth,United Airlines Holdings Inc.,UAL,@united
2020-03-18,So grateful that @Airbnb is giving full refunds during these uncertain times. Some airlines should take note. @JetBlue @AmericanAir @SouthwestAir @united #coronavirus,ashuhlay1226,United Airlines Holdings Inc.,UAL,@united
2020-03-18,"Airlines globally are reeling from the impact of #COVID19 

@AmericanAir, @united, @Delta make major schedule and staff cuts. 

DELTA: 
• Suspending 70% all routes
• Grounding 600 aircraft
•10,000 employees take voluntary leave of absence.

STORY: https://t.co/zGpZ8xxFhY https://t.co/V6B5k8BEk5 https://t.co/zSLW1kNZIz",NewsGuyGreg,United Airlines Holdings Inc.,UAL,@united
2020-03-18,"Most #airlines now waiving change fees for flights during #coronavirus: updated info at https://t.co/bHyyJQNPTY for @Allegiant @AmericanAir @FlyFrontier @HawaiianAir @JetBlue @SouthwestAir @SpiritAirlines @United

Updates to #hotels and #rentalcars soon (PRs welcome) https://t.co/JoCywK1wVN",peckjon,United Airlines Holdings Inc.,UAL,@united
2020-03-18,.@United new flexible booking policy could leave you out a lot of cash #travel https://t.co/pUPZPsiePZ,sahenry,United Airlines Holdings Inc.,UAL,@united
2020-03-18,"A huge thank you to all at @united for getting me home safely and calmly today on UA923. Every staff member I dealt with, from check-in to leaving the plane was fantastic.
#laxairport #heathrowairport #UnitedWeStand",rdpxiii,United Airlines Holdings Inc.,UAL,@united
2020-03-18,And here I thought airline hold times were bad. @netflix this is non-sense 3.5 hours and counting. @united @AmericanAir @Delta hold times are better. https://t.co/0BgnKlR6ls,nickbeckss,United Airlines Holdings Inc.,UAL,@united
