Created,Text,User,Company,Symbol,TwitterTerm
2020-03-18,"Tried to change the credentials to my @westerndigital MyCloudEX2, but I couldn’t, the password was too long. I’ll let that sink in, the password was too long 🤯, how does that happen? 

#CyberSecurity https://t.co/bcYbUuKMn8",DejanMolan,Western Digital Corp.,WDC,@westerndigital
2020-03-18,"Our poll has closed with most respondents saying they will fill up their storage incredibly quickly if bandwidth caps are removed, but it was close all around really. 

Now that many ISPs have announced removals, are you behaving as you expected? https://t.co/Dib33hYNbM",westerndigital,Western Digital Corp.,WDC,@westerndigital
2020-03-18,Come to MAMR! Western Digital unfurls HDD tech roadmap https://t.co/9Sgh6dLQlF  @WesternDigital @Chris_Mellor #SFD19 @BlocksandFiles https://t.co/ekf9Ueh4C1,GestaltIT,Western Digital Corp.,WDC,@westerndigital
2020-03-18,"See how Liqid's work with @InspurSystems and 
@westerndigital brings multi-fabric composable infrastructure into mainstream data centers. Article by @JessicaHrdcstle
 of @sdxcentral. https://t.co/tBFTaXXyAa",WeAreLiqid,Western Digital Corp.,WDC,@westerndigital
2020-03-18,"#5G brings on new types of high-performance applications. But those only exist if they have the hardware to support them, and that's what @westerndigital's embedded flash drive can do. @ZDNet #cdwsocial https://t.co/3N8zheJ5Ad",GabrielAdler,Western Digital Corp.,WDC,@westerndigital
2020-03-18,"In these troubling times, we need to keep businesses moving.  CMS has partnered with  leading technology hardware suppliers like @WengerBrand, @Energizer_UK, @STARTECHdotCOM, @LaCieTech &amp; @westerndigital to support those that need to #workfromhome 

https://t.co/2yLiuTgppD https://t.co/wEbduUGphW",CMSDistribution,Western Digital Corp.,WDC,@westerndigital
2020-03-18,"Hello @westerndigital , I am unable to update my passport Firmware, WD Universal Firmware Updater is crashing every time, You can find Crash log here  https://t.co/1bnwolf276  Please help me to fix it",Avinash_Devina,Western Digital Corp.,WDC,@westerndigital
2020-03-18,"https://t.co/MdDalcy7aF

https://t.co/d8PRqtp6CC 

Our new store for #Canada went live #today! 

@westerndigital #WDBlack @wd_black @WDCreators @SanDisk",SvenRathjen,Western Digital Corp.,WDC,@westerndigital
2020-03-17,"#Togetherathome friends! How are you keeping your data storage busy? Are you downloading data from work, grabbing new things to watch/listen to/play with, or using/binging on what you already have? Filling or emptying?",westerndigital,Western Digital Corp.,WDC,@westerndigital
2020-03-17,"#Togetherathome friends! How are you keeping your data storage busy? Are you downloading data from work, grabbing new things to watch/listen to/play with, or using/binging on what you already have? Filling or emptying? https://t.co/5ejbxWEzHP",westerndigital,Western Digital Corp.,WDC,@westerndigital
2020-03-17,"WD Black D10 Game Drive Review: Top Tier Performance #Harddrive #Westerndigital @westerndigital

Our Review: https://t.co/zcNMQjuLwd https://t.co/81Eb134eKF",thenerdstash,Western Digital Corp.,WDC,@westerndigital
2020-03-17,Top 5 Takeaways from #SFD19 Day 1 https://t.co/hWRhcRNzGx @TigerTech_Team @NetApp @WesternDigital @JABenedicic #SFD19 @AMD https://t.co/RTNl9NnBR5,GestaltIT,Western Digital Corp.,WDC,@westerndigital
2020-03-17,"I would like to name and shame @westerndigital for f***ing up remote access on a NAS drive and making working from home very difficult. You could be done for rhis you know, especially with coronavirus going around 😡😡😡",muktarahmed_,Western Digital Corp.,WDC,@westerndigital
2020-03-17,I was told that @westerndigital is experiencing trouble for remote access to mycloud as too many people are working from home. Is that true? Because I'm one of those,bobiperu,Western Digital Corp.,WDC,@westerndigital
2020-03-17,"ICYMI: Gaming Is Driving Storage Innovation at WDC @AMD @RayLucchesi @WesternDigital #SFD19
https://t.co/g3RjTFrsFd https://t.co/wUE1uaJyji",TechFieldDay,Western Digital Corp.,WDC,@westerndigital
2020-03-17,"#5G brings on new types of high-performance applications. But those only exist if they have the hardware to support them, and that's what @westerndigital's embedded flash drive can do. @ZDNet #cdwsocial https://t.co/H9bbjmZL3Y",CDWGWAGov,Western Digital Corp.,WDC,@westerndigital
2020-03-17,"News: Quantum Completes Acquisition of ActiveScale Object Storage Business 
https://t.co/66YcgsZgPO
#ObjectStorage @QuantumCorp @westerndigital",EnterpriseAI_,Western Digital Corp.,WDC,@westerndigital
